question,answer,question_vi,answer_vi
Which of these artists was NOT a Baroque painter?,Vincent van Gogh,Nghệ sĩ nào trong số này KHÔNG phải là họa sĩ Baroque?,Vincent van Gogh
Which of these Avatar Frames are available for purchase?,Rose Petals,Bạn có thể mua những Khung Avatar nào sau đây?,Cánh hoa hồng
Which of these Avatar Frames can be obtained from the Ceroli Crisis event?,Undersea Kingdom,Khung Avatar nào có thể nhận được từ sự kiện Khủng hoảng Ceroli?,Vương quốc dưới đáy biển
"Which of these Blessings immediately inflicts a 10% loss of troop power on your enemy at the start of battle in the “Golden Kingdom"" event?",Anchor,Phước lành nào sau đây ngay lập tức khiến kẻ thù của bạn bị tổn thất 10% sức mạnh quân khi bắt đầu trận chiến trong sự kiện “Vương quốc Vàng”?,mỏ neo
Which of these books was not written by the Greek philosopher Aristotle?,Republic,Cuốn sách nào sau đây không phải do triết gia Hy Lạp Aristotle viết?,Cộng hòa
Which of these boosts work in Expeditions in Rise of Kingdoms?,All of them,Những tính năng tăng cường nào sau đây có tác dụng trong Expeditions trong Rise of Kingdoms?,Tất cả bọn họ
Which of these boosts work in Sunset Canyon?,VIP Level troop capacity,Những tăng cường nào trong số này hoạt động ở Sunset Canyon?,Sức chứa quân cấp VIP
Which of these buildings is NOT one of the New Seven Wonders of the World?,The Palace of Versailles,Tòa nhà nào sau đây KHÔNG phải là một trong Bảy kỳ quan mới của thế giới?,Cung điện Versailles
Which of these Byzantine emperors ruled alongside four other emperors at various times only later to be declared Rome’s sole emperor after 63 years in power?,Constantine VIII,Hoàng đế Byzantine nào trong số này đã cai trị cùng với bốn hoàng đế khác vào nhiều thời điểm khác nhau và chỉ sau đó được tuyên bố là hoàng đế duy nhất của La Mã sau 63 năm nắm quyền?,Constantine VIII
Which of these Ceroli Chieftains is also called Stormbringer?,Torgny,Thủ lĩnh Ceroli nào trong số này còn được gọi là Stormbringer?,Torgny
Which of these Ceroli Chieftains is also called the Disaster Bringer?,Dekar,Ai trong số các Thủ lĩnh Ceroli này còn được gọi là Kẻ gây ra thảm họa?,Dekar
"Which of these characters is from “Twenty Thousand Leagues Under the Seas""?",Captain Nemo,Nhân vật nào trong phim “Hai vạn dặm dưới đáy biển”?,thuyền trưởng Nê-mô
"Which of these Chinese ethnic groups is known for drinking kumis, a drink made from fermented mare’s milk?",Mongols,"Dân tộc nào trong số những dân tộc Trung Quốc này nổi tiếng với việc uống kumis, một loại đồ uống làm từ sữa ngựa lên men?",người Mông Cổ
Which of these circumstances would prevent you from changing civilization?,Ongoing troop training in your city,Hoàn cảnh nào trong số này sẽ ngăn cản bạn thay đổi nền văn minh?,Huấn luyện quân đội liên tục trong thành phố của bạn
Which of these cities hosted the Olympics in 1900?,Paris,Thành phố nào sau đây đã tổ chức Thế vận hội vào năm 1900?,Paris
Which of these cities in Brazil has hosted the Olympic Games?,Rio de Janeiro,Thành phố nào sau đây ở Brazil đã tổ chức Thế vận hội Olympic?,Rio de Janeiro
Which of these cities is located in South America?,Buenos Aires,Thành phố nào trong số này nằm ở Nam Mỹ?,Buenos Aires
Which of these cities is NOT in Asia?,Melbourne,Thành phố nào sau đây KHÔNG ở Châu Á?,Melbourne
Which of these city themes feature balloons?,Harvest Cottage,Chủ đề thành phố nào sau đây có bóng bay?,Nhà thu hoạch
Which of these City Themes offers a special attributes bonus of +5% to Cavalry Attack and -5% to Archer Health?,Sower’s Song,Chủ đề Thành phố nào trong số này cung cấp phần thưởng thuộc tính đặc biệt là +5% cho Cuộc tấn công của Kỵ binh và -5% cho Sức khỏe của Cung thủ?,Bài hát của người gieo giống
Which of these civilizations can increase Archer Defense?,Korea,Nền văn minh nào sau đây có thể tăng khả năng phòng thủ của Archer?,Hàn Quốc
Which of these civilizations can increase their healing speed?,France,Nền văn minh nào sau đây có thể tăng tốc độ chữa bệnh?,Pháp
Which of these civilizations can increase their Hospital Capacity?,Byzantium,Nền văn minh nào sau đây có thể tăng công suất bệnh viện của họ?,Byzantium
Which of these commanders carries a bow and arrows as well as a sword?,Æthelflæd,Ai trong số những người chỉ huy này mang theo cung tên cũng như kiếm?,Æthelflæd
Which of these commanders does NOT carry a shield?,Charlemagne,Người chỉ huy nào KHÔNG mang khiên?,Charlemagne
Which of these commanders does NOT carry a sword?,Theodora,Người chỉ huy nào KHÔNG mang theo kiếm?,Theodora
Which of these commanders features snowflakes in their background image?,Björn Ironside,Người chỉ huy nào trong số này có hình bông tuyết trong hình nền của họ?,Bjorn Ironside
Which of these Commanders gets the ability to convert some slain units into severely wounded units when attacking a city?,Charlemagne,Chỉ huy nào trong số này có khả năng chuyển đổi một số đơn vị bị giết thành đơn vị bị thương nặng khi tấn công một thành phố?,Charlemagne
"Which of these commanders has also been called a “Holy Overlord""?",El Cid,Ai trong số những vị chỉ huy này còn được gọi là “Chúa tể thánh”?,El Cid
Which of these commanders has an Attack branch on their Talent tree?,Centurion,Chỉ huy nào trong số này có nhánh Tấn công trên cây Tài năng của họ?,đội trưởng
Which of these commanders has NO whiskers or other facial hair?,Alexander the Great,Người chỉ huy nào KHÔNG có râu hoặc lông mặt khác?,Alexander Đại đế
Which of these commanders has the Enchantment active skill?,Šárka,Ai trong số những chỉ huy này có kỹ năng kích hoạt Bùa mê?,Šárka
Which of these commanders is bald?,Ragnar Lodbrok,Ai trong số những người chỉ huy này bị hói?,Ragnar Lodbrok
Which of these commanders is NOT shown wearing a cloak?,Mehmed II,Người chỉ huy nào KHÔNG mặc áo choàng?,Mehmed II
Which of these commanders is often described as having survived 57 engagements without a single defeat?,Honda Tadakatsu,Người chỉ huy nào trong số này thường được mô tả là đã sống sót sau 57 trận giao tranh mà không có một thất bại nào?,Honda Tadakatsu
Which of these commanders wears a ring on their hand?,Queen Tamar of Georgia,Ai trong số những người chỉ huy này đeo nhẫn trên tay?,Nữ hoàng Tamar của Georgia
"Which of these commanders will gain a bonus from the Museum Relic “Twin Dragons Inscription""?",Yi Seong-Gye,Chỉ huy nào trong số những người chỉ huy này sẽ nhận được phần thưởng từ Di tích Bảo tàng “Dòng chữ Rồng đôi”?,Yi Seong Gye
Which of these commanders’ Expertise Skill is the enhanced version of an existing skill?,Björn Ironside,Kỹ năng Chuyên môn nào của người chỉ huy này là phiên bản nâng cao của một kỹ năng hiện có?,Bjorn Ironside
Which of these commanders’ sculptures can be obtained from opening a chest in the Tavern in Rise of Kingdoms?,Charles Martel,Những tác phẩm điêu khắc nào của các chỉ huy này có thể nhận được bằng cách mở rương trong Quán rượu trong Rise of Kingdoms?,Charles Martel
Which of these consonants is trilled when pronounced in Italian?,r,Phụ âm nào sau đây được rung khi phát âm bằng tiếng Ý?,r
Which of these countries did NOT participate in the Northern Seven Years’ War (1563-1570)?,The United Kingdom,Quốc gia nào sau đây KHÔNG tham gia Chiến tranh Bảy năm phương Bắc (1563-1570)?,Vương quốc Anh
Which of these countries does the Prime Meridian pass through?,Mali,Kinh tuyến gốc đi qua quốc gia nào sau đây?,Mali
Which of these countries has had the most influence on the development of Cuban food?,Spain,Quốc gia nào trong số này có ảnh hưởng lớn nhất đến sự phát triển của thực phẩm Cuba?,Tây Ban Nha
Which of these countries was NOT a founding member of NATO (in 1949)?,Turkey,Quốc gia nào sau đây KHÔNG phải là thành viên sáng lập của NATO (năm 1949)?,Thổ Nhĩ Kỳ
Which of these creatures was also popularly used as a kind of personal protective talisman in ancient Egypt?,Scarabs,Sinh vật nào trong số này cũng được sử dụng phổ biến như một loại bùa bảo vệ cá nhân ở Ai Cập cổ đại?,Bọ hung
Which of these decorations does NOT cost Gems?,Sakura Tree,Đồ trang trí nào KHÔNG tốn Đá quý?,Cây hoa anh đào
Which of these decorative buildings is also considered an omen of good luck in Chinese culture?,Chinese Dragon,Công trình trang trí nào sau đây cũng được coi là điềm báo may mắn trong văn hóa Trung Hoa?,Rồng Trung Quốc
Which of these effects is NOT caused by Æthelflæd’s skills?,Healing slightly wounded units,Hiệu ứng nào KHÔNG phải do kỹ năng của Æthelflæd gây ra?,Chữa lành các đơn vị bị thương nhẹ
Which of these events is NOT part of the Olympic Games?,Car racing,Sự kiện nào sau đây KHÔNG phải là một phần của Thế vận hội Olympic?,Đua xe
"Which of these female commanders has been described as “The Georgian Will""?",Queen Tamar of Georgia,Nữ chỉ huy nào trong số này được mệnh danh là “Ý chí Gruzia”?,Nữ hoàng Tamar của Georgia
Which of these female commanders has flowers in their hair?,Boudica,Nữ chỉ huy nào cài hoa trên tóc?,Boudica
Which of these fields is NOT included in the list of Nobel Prizes?,Mathematics,Lĩnh vực nào sau đây KHÔNG được đưa vào danh sách giải thưởng Nobel?,Toán học
"Which of these figures of the Seleucid Empire was taken hostage by Rome, subsequently fled Rome, and then returned to seize the throne of their home country?",Demetrius I,"Nhân vật nào trong số những nhân vật này của Đế chế Seleucid đã bị La Mã bắt làm con tin, sau đó trốn khỏi La Mã và sau đó quay trở lại để chiếm lấy ngai vàng của quê hương mình?",Demetrius I
Which of these films was NOT directed by Peter Weir?,Detachment,Bộ phim nào KHÔNG do Peter Weir đạo diễn?,Biệt đội
Which of these foods could the Eastern Han statesman Cao Cao not have eaten?,Corn,Chính khách Đông Hán Tào Tháo không thể ăn món nào sau đây?,ngô
Which of these fruits appears in the background image for the Commander Imhotep?,Banana,Loại trái cây nào xuất hiện trong hình nền của Chỉ huy Imhotep?,chuối
Which of these gods of ancient Egypt was also a symbol of royal authority?,Horus,Vị thần nào trong số những vị thần của Ai Cập cổ đại cũng là biểu tượng của quyền lực hoàng gia?,Horus
Which of these historical figures was NOT a botanist?,Dmitry Mendeleev,Nhân vật lịch sử nào KHÔNG phải là nhà thực vật học?,Dmitry Mendeleev
Which of these holy sites grants a march speed bonus?,Sanctum of Wind,Thánh địa nào trong số này cấp phần thưởng tốc độ hành quân?,Thánh địa gió
Which of these ingredients is used to brew soy sauce?,Soybeans,Nguyên liệu nào sau đây được dùng để nấu nước tương?,Đậu nành
Which of these is a line of Tomoe Gozen?,My power scares even the ghosts.,Dòng nào trong số này là dòng của Tomoe Gozen?,Sức mạnh của tôi có thể khiến cả những bóng ma sợ hãi.
Which of these is a passive skill of Commander Thutmose III?,Conquest of Mitanni,Đây là kỹ năng bị động của Chỉ huy Thutmose III?,Cuộc chinh phục Mitanni
"Which of these is an incorrect description of the “Battle of Poitiers""?",The campaign took place during World War I,Mô tả nào sau đây không chính xác về “Trận chiến Poitiers”?,Chiến dịch diễn ra trong Thế chiến thứ nhất
"Which of these is an incorrect description of the “Mare Imbrium"" on the moon?",It contains a certain amount of sedimentary water,Mô tả nào sau đây là không chính xác về “Mare Imbrium” trên mặt trăng?,Nó chứa một lượng nước trầm tích nhất định
Which of these is an incorrect description of wind energy?,It is not a form of renewable energy,Điều nào sau đây là mô tả sai về năng lượng gió?,Nó không phải là một dạng năng lượng tái tạo
Which of these is considered to be the seminal work of the French playwright Molière?,Tartuffe,Tác phẩm nào trong số này được coi là tác phẩm tiêu biểu của nhà viết kịch người Pháp Molière?,Tartuffe
Which of these is found in the alliance Golden Chest?,"1,000 Individual Credits",Cái nào trong số này được tìm thấy trong Rương Vàng của liên minh?,1.000 Tín dụng Cá nhân
Which of these is NOT a breakdown of alliance technology?,Military,Điều nào trong số này KHÔNG phải là sự cố về công nghệ của liên minh?,quân sự
Which of these is NOT a mail report category?,Gathering,Cái nào trong số này KHÔNG phải là danh mục báo cáo qua thư?,Tập hợp
Which of these is NOT a passive skill of Commander Minamoto no Yoshitsune?,The Worthy Man,Cái nào trong số này KHÔNG phải là kỹ năng bị động của Chỉ huy Minamoto no Yoshitsune?,Người đàn ông xứng đáng
Which of these is not a skill of the Ceroli general Keira?,The Red Chameleon,Kỹ năng nào sau đây không phải là kỹ năng của tướng Ceroli Keira?,Tắc kè hoa đỏ
Which of these is NOT a type of Japanese wagyu,Ronguhon Wagyu,Loại nào sau đây KHÔNG phải là loại wagyu Nhật Bản,Ronguhon Wagyu
Which of these is NOT a typical stage of sewage treatment?,Discharge,Điều nào sau đây KHÔNG phải là giai đoạn xử lý nước thải điển hình?,Xả
Which of these is NOT an Alliance Skill?,Rapid March,Cái nào trong số này KHÔNG phải là Kỹ năng Liên minh?,Tháng Ba cấp tốc
Which of these is not an ancient civilization of the Americas?,The Sumerians,Cái nào sau đây không phải là nền văn minh cổ xưa của Châu Mỹ?,Người Sumer
Which of these is not an official song of the 2022 World Cup?,Tatu Bom de Bola,Bài hát nào sau đây không phải là bài hát chính thức của World Cup 2022?,Tatu Bom de Bola
Which of these is NOT considered a Shakespearean tragedy?,Twelfth Night,Điều nào trong số này KHÔNG được coi là một bi kịch của Shakespeare?,Đêm thứ mười hai
"Which of these is NOT considered one of the “Five Good Emperors"" of the Nerva-Antonine dynasty of ancient Rome?",Commodus,Ai trong số này KHÔNG được coi là một trong “Năm vị hoàng đế tốt” của triều đại Nerva-Antonine của La Mã cổ đại?,hàng hóa
Which of these is NOT considered one of the 8 main styles of contemporary Chinese cooking?,Huaiyang Cuisine,Phong cách nào sau đây KHÔNG được coi là một trong 8 phong cách nấu ăn chính của Trung Quốc đương đại?,Ẩm thực Hoài Dương
Which of these is NOT one of Cao Cao’s skills?,Battle of Sorrow,Cái nào KHÔNG phải là một trong những kỹ năng của Tào Tháo?,Trận chiến đau buồn
Which of these is NOT one of the skills of Ceroli Chieftain Astrid?,Flametongue’s Kiss,Kỹ năng nào sau đây KHÔNG phải là một trong những kỹ năng của Thủ lĩnh Ceroli Astrid?,Nụ hôn của Flametongue
Which of these is not one of the Three Gorgon Sisters of Grecian myth?,Perga,Ai trong số này không phải là một trong ba chị em Gorgon của thần thoại Hy Lạp?,Perga
"Which of these is NOT one of the Winning Stratagems listed in the ancient Chinese military textbook, the “Thirty-Six Stratagems""?","The “empty fort"" strategy","Cái nào trong số này KHÔNG phải là một trong những Mưu kế thắng được liệt kê trong sách giáo khoa quân sự cổ xưa của Trung Quốc, “Ba mươi sáu mưu kế”?",Chiến lược “pháo đài trống”
Which of these is not part of the Holy Trinity in Christianity?,The Mother,Điều nào trong số này không phải là một phần của Chúa Ba Ngôi trong Cơ đốc giáo?,Người mẹ
Which of these is NOT Zeus’ child in Greek mythology?,Hera,Cái nào trong số này KHÔNG phải là con của Zeus trong thần thoại Hy Lạp?,Hera
Which of these is one of Diaochan’s Active Skills?,Dance of Chaos,Cái nào trong số này là một trong những Kỹ năng chủ động của Diaochan?,Vũ điệu hỗn loạn
"Which of these is one of Minamoto no Yoshitsune’s “Active Skills""?",Kyohachiryu,Cái nào trong số này là một trong những “Kỹ năng chủ động” của Minamoto no Yoshitsune?,Kyohachiryu
Which of these is one of the four fundamental elements of nature according to many ancient Greek philosophers?,Wind,"Theo nhiều nhà triết học Hy Lạp cổ đại, yếu tố nào trong số này là một trong bốn yếu tố cơ bản của tự nhiên?",Gió
Which of these is the most visited art museum in the world in recent years?,The Louvre,Đâu là bảo tàng nghệ thuật được ghé thăm nhiều nhất trên thế giới trong những năm gần đây?,bảo tàng Louvre
Which of these is the National Flower of India?,Lotus,Cái nào trong số này là quốc hoa của Ấn Độ?,hoa sen
Which of these is used to rally Alliance troops?,Castle,Cái nào trong số này được sử dụng để tập hợp quân đội Liên minh?,Lâu đài
Which of these is Yi Seong-Gye an expert in?,Garrisoning,Yi Seong-Gye là chuyên gia về lĩnh vực nào trong số này?,đồn trú
Which of these islands is considered the birthplace of Minoan civilization?,Crete,Hòn đảo nào trong số này được coi là nơi ra đời của nền văn minh Minoan?,đảo Crete
Which of these items can NOT be obtained by defeating barbarians?,VIP points,Vật phẩm nào KHÔNG thể có được bằng cách đánh bại những kẻ man rợ?,Điểm VIP
Which of these items can NOT be purchased within the Mysterious Merchant’s Boutique?,Passport Page,Những mặt hàng nào sau đây KHÔNG thể mua được trong Cửa hàng Thương gia Bí ẩn?,Trang hộ chiếu
Which of these items CANNOT be obtained from a Tavern Equipment Chest?,60-Minute Training Speedup,Vật phẩm nào KHÔNG THỂ lấy được từ Rương Thiết bị Quán rượu?,Tăng tốc luyện tập trong 60 phút
Which of these items cannot be obtained from an Equipment Chest?,Tomes of Knowledge,Vật phẩm nào sau đây không thể lấy được từ Rương Thiết bị?,Sách kiến thức
Which of these items CANNOT be obtained from the Alliance Stone Chest?,Silver Keys,Vật phẩm nào KHÔNG THỂ lấy được từ Rương đá Liên minh?,Chìa khóa bạc
Which of these items contains a helpful record on how an ancient Egyptian can pass into the next world after death?,The Book of the Dead,Vật phẩm nào trong số này chứa đựng ghi chép hữu ích về cách người Ai Cập cổ đại có thể chuyển sang thế giới tiếp theo sau khi chết?,Cuốn sách của người chết
"Which of these items may be selected from the Lvl 3 “Pick One"" Resource Chest?","150,000 Food",Vật phẩm nào trong số này có thể được chọn từ Rương tài nguyên “Chọn một” cấp 3?,150.000 đồ ăn
Which of these legendary phrases are NOT attributed to Commander El Cid?,For honor and empire!,Cụm từ huyền thoại nào KHÔNG được cho là của Chỉ huy El Cid?,Vì danh dự và đế chế!
Which of these managers has managed five World Cup teams?,Bora Milutinović,Ai trong số những người quản lý này đã quản lý năm đội World Cup?,Bora Milutinović
Which of these materials is used to forge gathering and peacekeeping equipment?,Animal Bone,Vật liệu nào sau đây được sử dụng để rèn thiết bị thu thập và gìn giữ hòa bình?,Xương động vật
Which of these modern-day countries is NOT located in the historical territory of the Maya civilization?,Dominican Republic,Quốc gia nào trong số các quốc gia hiện đại này KHÔNG nằm trong lãnh thổ lịch sử của nền văn minh Maya?,Cộng hòa Dominica
Which of these navigators was the first European to arrive in Brazil?,Pedro Álvares Cabral,Ai trong số những nhà hàng hải này là người châu Âu đầu tiên đến Brazil?,Pedro Álvares Cabral
Which of these Nobel Prizes was awarded to Marie Curie in 1903?,The Nobel Prize in Physics,Giải Nobel nào sau đây được trao cho Marie Curie vào năm 1903?,Giải Nobel Vật lý
Which of these novels is the first ever Japanese work of literary fiction founded on the legend of King Arthur?,Kairo-kō,Cuốn tiểu thuyết nào sau đây là tác phẩm văn học viễn tưởng đầu tiên của Nhật Bản dựa trên truyền thuyết về Vua Arthur?,Kairo-ko
Which of these novels was NOT written by Margaret Atwood?,Flowers for Algernon,Cuốn tiểu thuyết nào KHÔNG được viết bởi Margaret Atwood?,Hoa cho Algernon
Which of these organizations has its headquarters in Geneva?,UN High Commissioner for Refugees,Tổ chức nào trong số này có trụ sở chính tại Geneva?,Cao ủy Liên hợp quốc về người tị nạn
Which of these people did not win a Nobel Prize in Physics in 2022?,Karl Barry Sharpless,Ai trong số những người này không giành được giải Nobel Vật lý năm 2022?,Karl Barry sắc sảo
Which of these philosophers was not an advocate of the Cynicism school of philosophy?,Socrates,Nhà triết học nào trong số này không phải là người ủng hộ trường phái triết học Hoài nghi?,Socrates
Which of these plants is NOT available as a decorative building?,Peach Tree,Cây nào trong số này KHÔNG có sẵn để làm vật trang trí cho tòa nhà?,Cây đào
Which of these plays was not written by the ancient Greek tragedian Euripides?,Antigone,Vở kịch nào sau đây không được viết bởi nhà bi kịch Hy Lạp cổ đại Euripides?,Antigone
Which of these Polish pianists also served as the Prime Minister of Poland?,Ignacy Jan Paderewski,Nghệ sĩ piano người Ba Lan nào sau đây cũng từng giữ chức Thủ tướng Ba Lan?,Ignacy Jan Paderewski
Which of these Renaissance-era artists was not from Italy?,Shakespeare,Nghệ sĩ thời Phục hưng nào không đến từ Ý?,Shakespeare
Which of these rewards will NOT be awarded to the first place season finisher in Sunset Canyon?,Dazzling Starlight Sculpture,Phần thưởng nào sau đây sẽ KHÔNG được trao cho người về đích đầu tiên ở Sunset Canyon?,Điêu khắc ánh sao rực rỡ
Which of these rivers flows through Africa?,The Nile,Con sông nào sau đây chảy qua Châu Phi?,sông Nile
Which of these rivers is located in Asia?,The Euphrates,Con sông nào sau đây nằm ở châu Á?,sông Euphrates
Which of these RoK commanders is from Ceroli?,Keira,Chỉ huy Hàn Quốc nào đến từ Ceroli?,Keira
Which of these sculptures was the work of the ancient Greek sculptor Pheidias?,Statue of Zeus at Olympia,Tác phẩm điêu khắc nào trong số này là tác phẩm của nhà điêu khắc Hy Lạp cổ đại Pheidias?,Tượng thần Zeus ở Olympia
Which of these skills belonging to Commander Sun Tzu is enhanced upon Awakening?,Art of War,Kỹ năng nào trong số những kỹ năng này của Chỉ huy Tôn Tử được nâng cao khi Thức tỉnh?,Nghệ thuật chiến tranh
"Which of these species of shark is also known as the “Godzilla shark""?",Dracopristis hoffmanorum,Loài cá mập nào sau đây còn được gọi là “cá mập Godzilla”?,Dracopristis hoffmanorum
Which of these stars did not take part in the 2022 World Cup opening ceremony?,Shakira,Những ngôi sao nào không tham dự lễ khai mạc World Cup 2022?,Shakira
Which of these structures allows scouts and City Defenders to better keep an eye on their surroundings?,Watchtower,Cấu trúc nào trong số này cho phép trinh sát và Người bảo vệ thành phố để mắt đến môi trường xung quanh tốt hơn?,Tháp Canh
Which of these technologies can be researched in the Academy to accelerate food gathering on the map?,Scythe,Học viện có thể nghiên cứu công nghệ nào trong số này để tăng tốc độ thu thập lương thực trên bản đồ?,lưỡi hái
Which of these terms was also used by the ancient Egyptians to refer to themselves?,The cattle of Ra,Thuật ngữ nào sau đây cũng được người Ai Cập cổ đại sử dụng để chỉ chính họ?,Gia súc của Ra
"Which of these terrain types exerts a slight penalty on troop Defense on the Treasure Hill map in “Champions of Olympia""?",Whirlwind,"Loại địa hình nào sau đây gây ra ảnh hưởng nhẹ lên Phòng thủ của quân trên bản đồ Đồi Kho Báu trong “Champions of Olympia""?",Cơn lốc
Which of these two were created by Leonardo da Vinci?,"The Last Supper, Mona Lisa",Cái nào trong số hai cái này được tạo ra bởi Leonardo da Vinci?,"Bữa tối cuối cùng, Mona Lisa"
Which of these unfortunate individuals was the only person ever recorded to suffer from both dwarfism and gigantism?,Adam Rainer,Ai trong số những cá nhân bất hạnh này là người duy nhất từng được ghi nhận mắc cả bệnh lùn và bệnh khổng lồ?,Adam Rainer
Which of these was NOT a common type of garden in ancient Egypt?,Public gardens,Loại vườn nào sau đây KHÔNG phải là loại vườn phổ biến ở Ai Cập cổ đại?,Vườn công cộng
Which of these was NOT a Greek poet?,Adonis,Ai trong số này KHÔNG phải là nhà thơ Hy Lạp?,Adonis
Which of these was the only commander to defeat Cyrus the Great in battle?,Tomyris,Ai trong số này là chỉ huy duy nhất đánh bại Cyrus Đại đế trong trận chiến?,Tomyris
Which of these was the world’s first space station?,Salyut 1,Trạm vũ trụ nào trong số này là trạm vũ trụ đầu tiên trên thế giới?,Salyut 1
Which of these women is NOT considered one of the ‘Four Beauties’ of ancient China?,Bao Si,Người phụ nữ nào trong số này KHÔNG được coi là một trong “Tứ đại mỹ nhân” của Trung Quốc cổ đại?,Bảo Sĩ
Which of these works is not set during the Trojan War?,Antigone,Tác phẩm nào trong số này không lấy bối cảnh trong Chiến tranh thành Troy?,Antigone
"Which of these works of Japanese Monogatari literature describes the legend of “Kaguya-hime""?",The Tale of The Bamboo Cutter,Tác phẩm nào trong văn học Monogatari của Nhật Bản mô tả truyền thuyết về “Kaguya-hime”?,Câu chuyện người chặt tre
Which of these works was NOT written by the philosopher Friedrich Nietzsche?,Commentaries on the Gallic War,Tác phẩm nào KHÔNG được viết bởi triết gia Friedrich Nietzsche?,Bình luận về Chiến tranh Gallic
Which of these WOULD NOT be a penalty for failing to fully extract all resources from a resource point?,Suffering a barbarian attack,Điều nào trong số này KHÔNG phải là hình phạt nếu không trích xuất đầy đủ tất cả tài nguyên từ một điểm tài nguyên?,Chịu đựng sự tấn công man rợ
Which of these writers is considered representative of absurdism?,Albert Camus,Nhà văn nào trong số này được coi là đại diện của chủ nghĩa phi lý?,Albert Camus
Which official measure made it a crime to give Martin Luther food or shelter?,Edict of Worms,Biện pháp chính thức nào quy định việc cung cấp thức ăn hoặc chỗ ở cho Martin Luther là tội ác?,Sắc lệnh của sâu bọ
Which organ of the potato plant do we commonly eat?,Stem,Chúng ta thường ăn cơ quan nào của cây khoai tây?,Thân cây
Which Paris Saint-Germain player plays Rise of Kingdoms?,Marquinhos,Người chơi Paris Saint-Germain nào chơi Rise of Kingdoms?,Marquinhos
"Which period of European history, lasting from 1300 to 1600, saw renewed interest in classical culture and led to far-reaching changes in art, learning, and views of the world?",The Renaissance,"Giai đoạn nào của lịch sử châu Âu, kéo dài từ năm 1300 đến năm 1600, chứng kiến ​​sự quan tâm mới đến văn hóa cổ điển và dẫn đến những thay đổi sâu rộng trong nghệ thuật, học tập và quan điểm về thế giới?",thời Phục hưng
Which Pharaoh constructed the Bent Pyramid?,Sneferu,Pharaoh nào đã xây dựng Kim tự tháp Bent?,Sneferu
Which Pharaoh issued the edict that appears on the Rosetta Stone?,Ptolemy V,Pharaoh nào đã ban hành sắc lệnh ghi trên Đá Rosetta?,Ptolemy V
Which Pharaoh ordered the construction of the Abu Simbel temples?,Ramesses II,Pharaoh nào đã ra lệnh xây dựng đền thờ Abu Simbel?,Ramesses II
"Which philosopher said “whereof one cannot speak, thereof one must be silent""?",Wittgenstein,Triết gia nào đã nói “việc gì không thể nói thì phải im lặng”?,Wittgenstein
"Which philosopher wrote “Utopia""?",Plato,Triết gia nào đã viết “Không tưởng”?,Plato
Which planet in our solar system is closest to the sun?,Mercury,Hành tinh nào trong hệ mặt trời của chúng ta gần mặt trời nhất?,Thủy ngân
Which planet in our solar system rotates the fastest?,Jupiter,Hành tinh nào trong hệ mặt trời của chúng ta quay nhanh nhất?,Sao Mộc
"Which poet wrote “Germany. A Winter’s Tale""?",Heine,"Nhà thơ nào đã viết bài “Nước Đức, câu chuyện mùa đông”?",Heine
"Which poet wrote “Theogony"", which describes the origins and genealogy of the Greek gods?",Hesiod,Nhà thơ nào đã viết cuốn “Theogony” mô tả nguồn gốc và phả hệ của các vị thần Hy Lạp?,Hesiod
Which Portuguese explorer sailed from the Cape of Good Hope to India?,Vasco da Gama,Nhà thám hiểm người Bồ Đào Nha nào đã đi thuyền từ Mũi Hảo Vọng đến Ấn Độ?,Vasco da Gama
Which Portuguese explorer was the first European to sail to the southern tip of Africa?,Bartolomeu Dias,Nhà thám hiểm người Bồ Đào Nha nào là người châu Âu đầu tiên đi thuyền tới cực nam châu Phi?,Bartolomeu Dias
Which privilege is reserved for titled officers (not normal officers)?,The ability to check alliance members’ online status,Đặc quyền nào được dành riêng cho các sĩ quan có chức danh (không phải sĩ quan bình thường)?,Khả năng kiểm tra trạng thái trực tuyến của các thành viên liên minh
Which prominent statesman served as the first general of the Edo shogunate at the end of Japan’s Warring States period?,Tokugawa Ieyasu,Chính khách nổi tiếng nào từng là vị tướng đầu tiên của Mạc phủ Edo vào cuối thời Chiến Quốc của Nhật Bản?,Tokugawa Ieyasu
Which pyramid is widely considered the only surviving Wonder of the Ancient World still with us today?,The Pyramid of Khufu,Kim tự tháp nào được nhiều người coi là Kỳ quan duy nhất còn sót lại của Thế giới Cổ đại còn tồn tại đến ngày nay?,Kim tự tháp Khufu
Which rare animal does the WWF use as its logo?,Panda,WWF sử dụng loài động vật quý hiếm nào làm biểu tượng của mình?,gấu trúc
Which Roman Emperor was named Augustus after ending a civil war?,Gaius Octavius,Hoàng đế La Mã nào được đặt tên là Augustus sau khi kết thúc cuộc nội chiến?,Gaius Octavius
Which school of painting would Georges Seurat be a representative of?,Pointillism,Georges Seurat sẽ là đại diện của trường phái hội họa nào?,chủ nghĩa chấm điểm
Which school of thought was founded by the Chinese philosopher Lao Tzu?,Taoism,Trường phái tư tưởng nào được sáng lập bởi triết gia Trung Quốc Lão Tử?,Đạo giáo
Which scout attribute CANNOT be enhanced by upgrading a Lvl 11 Scout Camp?,Number of Scouts,Thuộc tính trinh sát nào KHÔNG THỂ được tăng cường bằng cách nâng cấp Trại trinh sát cấp 11?,Số Hướng đạo sinh
